GeneNames,log2FC,p-value
LOC_Os02g49230.1,-3.584962501,8.08E-05
LOC_Os07g36470.1,0.792195115,8.30E-05
LOC_Os04g52640.2,-4.321928095,8.73E-05
LOC_Os05g32220.1,0.440572591,8.85E-05
LOC_Os07g47510.1,1.058893689,9.03E-05
LOC_Os06g19960.1,0.974004791,9.10E-05
LOC_Os02g25060.1,-2.402098444,9.66E-05
LOC_Os01g18050.1,-2.402098444,9.66E-05
LOC_Os06g06560.1,0.736965594,0.000100781
LOC_Os03g21000.1,1.178337241,0.00010191
LOC_Os02g02290.1,0.685126663,0.000108111
LOC_Os02g01280.1,0.949373927,0.00010889
LOC_Os07g46220.1,1.688055994,0.000108745
LOC_Os04g51910.1,0.903784685,0.00010869
LOC_Os03g21680.2,1.428843299,0.000109446
LOC_Os07g48450.3,3.807354922,0.000110256
LOC_Os01g52630.1,3.807354922,0.000110256
LOC_Os06g35540.1,3.807354922,0.000110256
LOC_Os12g07110.1,0.626541604,0.000112793
LOC_Os01g08410.1,1.754887502,0.000120624
LOC_Os06g14750.1,1.222392421,0.000121915
LOC_Os03g56280.1,-2.032421478,0.000125717
LOC_Os05g01470.1,1.459431619,0.000126959
LOC_Os02g02750.3,1.459431619,0.000126959
LOC_Os09g02214.1,0.925999419,0.000130553
LOC_Os09g12570.1,2,0.00013087
LOC_Os04g34450.1,2.137503524,0.000129363
LOC_Os07g09600.1,0.757429697,0.000132417
LOC_Os04g16722.1,0.404695555,0.00013526
LOC_Os02g58410.1,-3.523561956,0.000142827
LOC_Os05g42250.1,3,0.000153104
LOC_Os01g68710.3,3,0.000153104
LOC_Os12g43410.1,3,0.000153104
LOC_Os12g34330.1,3,0.000153104
LOC_Os03g52170.1,0.796466606,0.000152037
LOC_Os01g17240.1,0.796466606,0.000152037
LOC_Os07g27950.2,1.494764692,0.000151602
LOC_Os02g54510.3,1.494764692,0.000151602
LOC_Os03g59640.1,-1.239827015,0.000152838
LOC_Os03g61130.1,0.705256734,0.000156526
LOC_Os05g51500.1,0.705256734,0.000156526
LOC_Os02g01340.2,-0.984733243,0.000157296
LOC_Os06g09450.6,0.48032896,0.000161736
LOC_Os01g70270.3,0.628031223,0.000164735
LOC_Os10g35630.1,1.584962501,0.000165839
LOC_Os02g17500.3,1.584962501,0.000165839
LOC_Os06g51029.1,0.460973783,0.000166537
LOC_Os07g04240.1,0.460973783,0.000166537
LOC_Os03g17174.1,-3.058893689,0.000180638
LOC_Os03g51050.1,1.637429921,0.000182442
LOC_Os02g56110.1,1.637429921,0.000182442
LOC_Os02g49760.3,1.637429921,0.000182442
LOC_Os03g17180.1,1.187627003,0.000185934
LOC_Os03g07800.1,1.187627003,0.000185934
LOC_Os06g02540.1,1,0.000200966
LOC_Os02g09810.3,2.584962501,0.000200426
LOC_Os02g57720.1,2.584962501,0.000200426
LOC_Os06g08250.1,2.584962501,0.000200426
LOC_Os06g03860.3,1.415037499,0.000206412
LOC_Os02g39930.1,1.263034406,0.000209084
LOC_Os02g07360.1,-1.836501268,0.000211987
LOC_Os05g04630.1,0.7744403,0.000212966
LOC_Os01g25600.1,-2.754887502,0.00021828
LOC_Os12g18770.1,1.836501268,0.000228535
LOC_Os03g55100.1,1.938599455,0.00022833
LOC_Os06g05400.1,1.938599455,0.00022833
LOC_Os04g55220.1,1.938599455,0.00022833
LOC_Os05g38219.1,2.070389328,0.000233409
LOC_Os02g49320.1,2.070389328,0.000233409
LOC_Os07g14850.1,-2.584962501,0.000232645
LOC_Os12g34860.2,-2.584962501,0.000232645
LOC_Os01g55270.1,3.700439718,0.0002312
LOC_Os03g55560.1,3.700439718,0.0002312
LOC_Os08g39150.1,3.700439718,0.0002312
LOC_Os05g33840.1,-2.209453366,0.000232169
LOC_Os08g16480.3,-2.415037499,0.000239009
LOC_Os07g08840.1,0.7589919,0.000243802
LOC_Os01g61400.1,0.874469118,0.000269186
LOC_Os09g24710.3,1.5360529,0.000270995
LOC_Os01g19450.1,-1.277984747,0.000276317
LOC_Os01g73450.1,-4.169925001,0.000277557
LOC_Os07g46590.1,0.813586876,0.000297992
LOC_Os01g61320.2,2.906890596,0.000301869
LOC_Os02g23890.1,2.906890596,0.000301869
LOC_Os05g38290.1,2.906890596,0.000301869
LOC_Os03g20380.4,1.584962501,0.0003046
LOC_Os05g14180.1,-1.540568381,0.000307521
LOC_Os05g06310.1,-1.540568381,0.000307521
LOC_Os03g02970.1,1.160464672,0.000337508
LOC_Os01g66500.1,-2.078002512,0.000339561
LOC_Os09g07120.1,0.941106311,0.000353128
LOC_Os02g14730.1,1.64385619,0.000352603
LOC_Os05g37330.1,1.64385619,0.000352603
LOC_Os11g01590.1,1.64385619,0.000352603
LOC_Os02g02840.1,-2.700439718,0.000356827
LOC_Os11g11000.3,0.612976877,0.00036382
LOC_Os01g18630.1,0.64385619,0.000363341
LOC_Os04g41470.1,1,0.000365689
LOC_Os06g43860.4,-1.263034406,0.000367465
LOC_Os03g55670.1,-1.263034406,0.000367465
LOC_Os07g05480.1,-1.520832163,0.000373515
LOC_Os08g40510.1,2.502500341,0.000372565
LOC_Os07g28480.1,2.502500341,0.000372565
LOC_Os07g12200.1,0.807354922,0.00037196
LOC_Os04g45600.1,-2.237039197,0.000383273
LOC_Os06g09610.2,-2.237039197,0.000383273
LOC_Os06g39260.1,1.777607579,0.000384782
LOC_Os03g04710.1,1.874469118,0.000396697
LOC_Os10g18340.1,1.169925001,0.000412975
LOC_Os02g45670.1,2,0.000418798
LOC_Os03g02540.1,2,0.000418798
LOC_Os04g43550.1,2,0.000418798
LOC_Os03g50870.1,1.485426827,0.000440897
LOC_Os12g40560.1,1.485426827,0.000440897
LOC_Os02g14760.1,1.299560282,0.000442455
LOC_Os05g45400.1,1.299560282,0.000442455
LOC_Os04g52450.2,-1.402098444,0.000440786
LOC_Os02g47600.2,-3.392317423,0.000445449
LOC_Os03g06980.1,-3.392317423,0.000445449
LOC_Os09g32510.5,-3.321928095,0.000440402
LOC_Os06g19444.2,-3.321928095,0.000440402
LOC_Os10g39440.2,0.669851398,0.000439537
LOC_Os08g31470.1,0.714597781,0.000466417
LOC_Os10g37210.1,3.584962501,0.000482598
LOC_Os04g49660.1,-4.087462841,0.000495894
LOC_Os09g30412.1,-4.087462841,0.000495894
LOC_Os08g39630.1,1.530514717,0.00050576
LOC_Os01g42234.1,-2.938599455,0.000516783
LOC_Os11g47550.1,-2.938599455,0.000516783
LOC_Os11g34460.2,1,0.000534572
LOC_Os02g30310.3,1.321928095,0.000536393
LOC_Os02g55420.1,1.321928095,0.000536393
LOC_Os11g33120.3,1.074000581,0.000539714
LOC_Os02g19150.1,1.074000581,0.000539714
LOC_Os03g17690.2,0.526747887,0.000565858
LOC_Os09g35940.1,-2.129283017,0.000565001
LOC_Os01g59500.2,2.807354922,0.000592514
LOC_Os12g03810.2,2.807354922,0.000592514
LOC_Os01g49000.1,2.807354922,0.000592514
LOC_Os05g45280.1,2.807354922,0.000592514
LOC_Os06g04020.1,1.584962501,0.000597033
LOC_Os05g06750.1,1.584962501,0.000597033
LOC_Os08g35620.2,1.584962501,0.000597033
LOC_Os02g15750.1,-2.192645078,0.000595241
LOC_Os01g66300.1,-2.321928095,0.000604886
LOC_Os01g53150.2,-2.485426827,0.000620186
LOC_Os11g07040.1,-2.485426827,0.000620186
LOC_Os06g12630.2,1.398549376,0.000627292
LOC_Os07g07560.2,1.398549376,0.000627292
LOC_Os12g35360.1,1.716207034,0.000645393
LOC_Os03g04340.1,1.716207034,0.000645393
LOC_Os01g12880.1,1.716207034,0.000645393
LOC_Os02g58650.1,1.716207034,0.000645393
LOC_Os10g28360.1,1.716207034,0.000645393
LOC_Os03g18130.3,0.966833136,0.000643705
