GeneNames,log2FC,p-value
LOC_Os01g64630.4,-0.436099115,0.874109099
LOC_Os07g36590.1,0.289506617,0.37614811
LOC_Os03g52470.1,0,0.645422974
LOC_Os05g26902.1,-0.192645078,1
LOC_Os08g40230.1,-1.584962501,0.633460072
LOC_Os09g38740.1,0,1
LOC_Os06g29020.2,-0.415037499,1
LOC_Os02g47660.1,1,0.417521697
LOC_Os03g48104.1,0,1
LOC_Os03g63950.2,-0.447458977,0.846341346
LOC_Os03g50450.1,-0.652076697,0.813447599
LOC_Os08g05620.1,-1.584962501,0.633460072
LOC_Os05g45340.1,0,1
LOC_Os10g32300.1,0.415037499,0.70761532
LOC_Os01g61880.1,0,1
LOC_Os12g35290.1,0,0.760104678
LOC_Os03g50810.1,-2,0.38910012
LOC_Os09g19954.1,0,1
LOC_Os06g04660.1,-0.415037499,1
LOC_Os04g56320.1,-2,0.38910012
LOC_Os08g43560.1,0.192645078,0.362964385
LOC_Os10g34540.1,0.263034406,0.395063924
LOC_Os01g09246.1,-0.178337241,0.73774855
LOC_Os11g07922.2,-0.485426827,0.839317694
LOC_Os05g01060.1,0.415037499,0.70761532
LOC_Os07g39070.1,1,0.417521697
LOC_Os03g63680.1,0.415037499,0.70761532
LOC_Os07g42600.1,-0.700439718,0.662604852
LOC_Os09g39590.1,-0.234465254,0.870523555
LOC_Os05g25400.1,1,0.417521697
LOC_Os02g01720.1,-1.169925001,0.407728513
LOC_Os11g38980.3,-0.584962501,0.823015872
LOC_Os07g36610.1,-1.584962501,0.633460072
LOC_Os05g30860.1,-1,0.698015283
LOC_Os09g15330.2,-2,0.38910012
LOC_Os04g49520.1,-1,0.698015283
LOC_Os02g39700.1,-0.263034406,1
LOC_Os03g46330.1,0.192645078,0.362964385
LOC_Os04g44200.1,0,1
LOC_Os06g08140.1,-0.222392421,1
LOC_Os01g65450.1,0.584962501,0.662011918
LOC_Os04g42270.1,-0.125530882,0.835147402
LOC_Os09g39200.1,-0.736965594,0.73876108
LOC_Os02g52730.1,-1,0.739838974
LOC_Os01g70930.1,0,1
LOC_Os11g29120.2,-0.289506617,1
LOC_Os03g22830.1,-1,0.739838974
LOC_Os11g43390.1,-1.584962501,0.633460072
LOC_Os06g34420.1,-0.485426827,1
LOC_Os02g39520.1,-0.263034406,1
LOC_Os10g34670.1,0,1
LOC_Os05g08560.1,-1,0.698015283
LOC_Os04g47280.1,-1.584962501,0.633460072
LOC_Os06g03600.1,-0.652076697,0.813447599
LOC_Os07g07719.1,-0.08246216,0.734483435
LOC_Os07g29620.1,-0.556393349,0.643322306
LOC_Os07g04850.1,-0.637429921,0.677833319
LOC_Os02g42940.1,0,0.776378797
LOC_Os01g62610.1,-1,1
LOC_Os08g02850.1,0,1
LOC_Os05g48690.2,-0.321928095,1
LOC_Os03g14450.1,-0.362570079,1
LOC_Os06g02600.1,-0.465663572,0.776771856
LOC_Os03g56234.2,-0.263034406,1
LOC_Os09g39650.3,0,1
LOC_Os04g19740.1,0,0.790430352
LOC_Os04g48530.1,-0.263034406,1
LOC_Os03g02960.1,-0.485426827,0.839317694
LOC_Os03g58250.1,-0.584962501,1
LOC_Os03g11260.1,0.415037499,0.70761532
LOC_Os04g48230.1,-0.584962501,0.691703395
LOC_Os08g07060.1,-1,0.739838974
LOC_Os10g33290.2,0,0.682963624
LOC_Os12g42520.1,0,1
LOC_Os10g42670.1,-0.584962501,1
LOC_Os01g37790.1,0,1
LOC_Os04g40300.1,-1,1
LOC_Os02g47120.1,-0.263034406,1
LOC_Os04g32670.1,-0.485426827,0.839317694
LOC_Os10g42250.2,0.584962501,0.662011918
LOC_Os05g35274.2,-0.584962501,1
LOC_Os05g01440.1,-0.180572246,0.859738412
LOC_Os07g09800.1,-0.115477217,0.841250806
LOC_Os03g47550.2,0.415037499,0.70761532
LOC_Os08g39430.1,-0.700439718,0.662604852
LOC_Os02g34690.1,0,1
LOC_Os05g28290.1,-0.125530882,0.835147402
LOC_Os10g42210.1,-1,1
LOC_Os02g50280.1,-1.584962501,0.633460072
LOC_Os04g52870.1,-0.736965594,0.623424804
LOC_Os05g35650.2,0.2410081,0.413318993
LOC_Os04g37950.1,-0.280107919,1
LOC_Os01g73950.1,0.584962501,0.662011918
LOC_Os07g44620.1,-0.362570079,1
LOC_Os06g48160.1,-1,0.444143009
LOC_Os08g37605.1,0,0.802674019
LOC_Os03g08490.1,0,0.760104678
LOC_Os01g26160.2,-0.347923303,1
LOC_Os03g03990.1,0.584962501,0.357888847
LOC_Os11g42030.1,-0.584962501,1
LOC_Os02g47470.2,-1.415037499,0.365278676
LOC_Os02g47170.1,-0.736965594,0.73876108
LOC_Os02g03600.1,-1.584962501,0.633460072
LOC_Os03g50330.1,-0.736965594,0.73876108
LOC_Os02g27060.2,-0.584962501,0.691703395
LOC_Os03g62650.3,-0.485426827,1
LOC_Os10g39220.1,-0.584962501,0.799379528
LOC_Os06g39708.1,-0.736965594,0.73876108
LOC_Os01g69920.1,-0.321928095,1
LOC_Os03g46310.1,-0.736965594,0.73876108
LOC_Os07g34740.1,-2,0.38910012
LOC_Os09g17600.3,-0.321928095,1
LOC_Os09g38400.1,-1,1
LOC_Os12g41720.1,0,1
LOC_Os06g11430.1,-0.584962501,1
LOC_Os03g03949.2,-1.415037499,0.365278676
LOC_Os03g17020.2,0.078002512,0.414706663
LOC_Os03g01890.1,0.415037499,0.424011311
LOC_Os08g40110.1,-0.473931188,0.760693406
LOC_Os03g03180.1,-1.169925001,0.407728513
LOC_Os05g50890.1,-0.736965594,0.623424804
LOC_Os04g39040.1,-0.192645078,1
LOC_Os01g41565.1,1,0.417521697
LOC_Os01g16600.1,-1,1
LOC_Os03g14170.1,0,0.790430352
LOC_Os06g14390.1,0,1
LOC_Os03g57320.1,0,1
LOC_Os07g05740.1,-1,1
LOC_Os03g46440.3,0,1
LOC_Os05g28980.6,-0.459431619,1
LOC_Os12g04260.1,-0.736965594,0.73876108
LOC_Os03g61960.1,0,1
LOC_Os01g62160.1,-1,0.698015283
LOC_Os02g04740.1,-1.584962501,0.633460072
LOC_Os06g50146.1,0.415037499,0.424011311
LOC_Os04g43750.1,0.415037499,0.424011311
LOC_Os01g72430.1,-1,0.698015283
LOC_Os06g08770.1,-0.469485283,0.857396535
LOC_Os03g20330.1,-1.584962501,0.633460072
LOC_Os02g31150.1,-0.678071905,0.783549278
LOC_Os03g40260.1,-0.169925001,1
LOC_Os07g22720.2,-0.321928095,1
LOC_Os03g59050.1,-0.440572591,0.862147325
LOC_Os01g53140.1,0,1
LOC_Os01g54730.2,-0.263034406,1
LOC_Os04g51570.1,-0.584962501,1
LOC_Os01g55530.1,-0.263034406,1
LOC_Os02g47640.1,-0.485426827,1
LOC_Os01g65440.1,0,1
LOC_Os02g30840.1,0,1
LOC_Os04g56070.1,-0.070389328,0.639156578
LOC_Os06g43800.1,0.078002512,0.414706663
LOC_Os07g39430.1,-0.115477217,0.841250806
LOC_Os01g12090.1,-0.321928095,1
LOC_Os06g45440.1,-0.584962501,1
LOC_Os11g04210.1,0,1
LOC_Os08g35480.1,-1.415037499,0.365278676
LOC_Os02g35060.1,-1,1
LOC_Os06g50340.1,-0.530514717,0.831585274
LOC_Os04g54320.1,0,1
LOC_Os06g02180.1,-1,1
LOC_Os03g51150.1,0,1
LOC_Os01g40630.1,0.415037499,0.424011311
LOC_Os04g42700.1,0,1
LOC_Os10g42500.1,0.584962501,0.357888847
LOC_Os04g39190.1,-0.584962501,0.63439207
LOC_Os03g43670.1,-0.321928095,1
LOC_Os03g09080.1,0,0.790430352
LOC_Os09g23280.1,-0.222392421,1
LOC_Os03g22350.1,-0.415037499,1
LOC_Os01g15460.3,0,1
LOC_Os03g14290.1,-0.321928095,1
LOC_Os03g61690.1,-0.192645078,1
LOC_Os03g15650.3,0,0.645422974
LOC_Os01g01312.1,0.584962501,0.662011918
LOC_Os05g34720.1,-1,0.739838974
LOC_Os11g04500.1,-0.321928095,1
LOC_Os04g11350.1,-0.485426827,1
LOC_Os04g56140.3,-0.584962501,1
LOC_Os02g17650.2,-0.415037499,1
LOC_Os08g08060.1,-0.115477217,0.841250806
LOC_Os01g03070.1,-0.398549376,0.888487545
LOC_Os01g61590.1,-1,0.739838974
LOC_Os06g40840.1,0,1
LOC_Os06g45360.1,-0.807354922,0.764224471
LOC_Os10g40220.1,-0.263034406,1
LOC_Os10g37660.1,-1,1
LOC_Os05g43380.2,-2,0.38910012
LOC_Os08g38570.1,-1,0.698015283
LOC_Os09g35680.1,-0.192645078,0.855840807
LOC_Os06g10160.1,-0.415037499,1
LOC_Os12g33080.1,0.058893689,0.391187388
LOC_Os04g51970.1,0,1
LOC_Os01g05480.3,0,1
LOC_Os01g32750.1,0.144389909,0.342734603
LOC_Os12g07740.1,-0.40053793,0.89514694
LOC_Os10g05730.1,-0.584962501,1
LOC_Os01g63270.1,0,0.389116593
LOC_Os02g54730.1,0.584962501,0.662011918
LOC_Os01g66150.1,0.584962501,0.662011918
LOC_Os07g07194.1,-1,0.698015283
LOC_Os06g27770.1,0,1
LOC_Os03g60110.1,-0.222392421,1
LOC_Os02g19440.1,-0.736965594,0.623424804
LOC_Os07g41750.1,-0.807354922,0.764224471
LOC_Os01g46080.2,0.415037499,0.70761532
LOC_Os05g35710.3,0.222392421,0.430867776
LOC_Os03g22780.1,-1,0.739838974
LOC_Os02g49150.2,-2,0.38910012
LOC_Os06g10690.2,0.222392421,0.430867776
LOC_Os10g31790.1,0.584962501,0.662011918
LOC_Os02g57070.1,-1.415037499,0.365278676
LOC_Os03g15880.1,0.415037499,0.424011311
LOC_Os01g57110.2,0,0.682963624
LOC_Os10g25030.1,0,1
LOC_Os06g09688.1,0.584962501,0.357888847
LOC_Os02g44330.1,-2,0.38910012
LOC_Os05g32230.1,-0.700439718,0.662604852
LOC_Os11g31480.1,0,1
LOC_Os04g33600.1,-0.485426827,1
LOC_Os07g42250.1,0.485426827,0.392631489
LOC_Os03g60750.3,0.415037499,0.70761532
LOC_Os05g48290.3,-0.362570079,1
LOC_Os01g47730.1,-0.736965594,0.73876108
LOC_Os03g24380.1,-1.115477217,0.356532274
LOC_Os09g12800.1,-1,1
LOC_Os03g07880.1,-1.584962501,0.633460072
LOC_Os03g55280.1,-0.485426827,0.839317694
LOC_Os05g40260.1,0,0.760104678
LOC_Os04g30780.1,-0.308122295,1
LOC_Os07g08500.1,0.584962501,0.662011918
LOC_Os08g43390.1,-0.192645078,1
LOC_Os02g57990.2,-0.321928095,1
LOC_Os09g34200.1,-1,1
LOC_Os03g56380.1,-1,0.444143009
LOC_Os08g07040.1,-0.652076697,0.813447599
LOC_Os12g02730.1,-0.584962501,1
LOC_Os08g10030.2,-0.736965594,0.73876108
LOC_Os10g33874.1,1,0.417521697
LOC_Os03g59250.1,-1,1
LOC_Os03g11320.2,0,1
LOC_Os08g25624.2,-0.163498732,0.782731728
LOC_Os03g60000.1,1,0.417521697
LOC_Os03g17240.1,-0.106915204,0.84697539
LOC_Os01g58049.1,-0.652076697,0.813447599
LOC_Os01g68260.1,-0.362570079,1
LOC_Os01g46580.1,-0.584962501,0.691703395
LOC_Os12g42550.2,0.222392421,0.430867776
LOC_Os11g02180.1,-0.652076697,0.813447599
LOC_Os12g02120.2,-1,0.444143009
LOC_Os01g66600.1,-0.584962501,1
LOC_Os09g24670.1,-0.736965594,0.73876108
LOC_Os03g54230.1,-1.584962501,0.633460072
LOC_Os10g41970.1,-0.584962501,0.823015872
LOC_Os04g38340.1,0,0.682963624
LOC_Os03g15000.1,0.2410081,0.413318993
LOC_Os02g51620.1,-2,0.38910012
LOC_Os02g49460.1,-1.584962501,0.633460072
LOC_Os12g43590.1,-0.362570079,1
LOC_Os02g46860.1,-1.584962501,0.633460072
LOC_Os05g25310.2,-1.584962501,0.633460072
LOC_Os02g34950.1,-1,1
LOC_Os01g68860.3,-0.08246216,0.734483435
LOC_Os03g51250.1,-0.152003093,0.821724155
LOC_Os10g40540.1,-0.321928095,1
LOC_Os09g07500.2,0,0.65862756
LOC_Os03g24590.1,-1,0.698015283
LOC_Os09g38040.2,0,0.760104678
LOC_Os08g29780.1,0.415037499,0.70761532
LOC_Os08g03430.1,-0.807354922,0.764224471
LOC_Os03g46750.1,-0.584962501,1
LOC_Os04g43490.1,-1,0.698015283
LOC_Os06g46310.3,0.289506617,0.37614811
LOC_Os10g21328.1,-1,1
LOC_Os08g07290.1,-0.736965594,0.73876108
LOC_Os05g01910.1,-0.35614381,1
LOC_Os03g17860.1,-1,0.698015283
LOC_Os04g53240.3,-0.415037499,1
LOC_Os04g01160.1,-1,1
LOC_Os06g10280.1,-0.485426827,1
LOC_Os02g38190.1,0,0.760104678
LOC_Os09g32274.1,-0.584962501,1
LOC_Os02g04070.1,0.192645078,0.362964385
LOC_Os11g38860.1,0,1
LOC_Os11g38870.1,0,1
LOC_Os07g26630.1,0,1
LOC_Os05g01450.2,0,0.682963624
LOC_Os10g30620.1,-1,0.698015283
LOC_Os03g29180.1,-0.192645078,1
LOC_Os06g14740.1,-0.2410081,0.885486556
LOC_Os03g12900.3,-0.584962501,1
LOC_Os09g23540.1,-0.415037499,1
LOC_Os01g74600.1,0,1
LOC_Os02g09490.1,0.289506617,0.37614811
LOC_Os03g18510.1,0.2410081,0.413318993
LOC_Os01g74470.1,-0.321928095,1
LOC_Os05g43950.1,-0.736965594,0.73876108
LOC_Os02g21650.1,-0.584962501,1
LOC_Os06g04450.2,0,1
LOC_Os11g40140.1,-0.374395515,0.898897666
LOC_Os08g19490.1,-1,1
LOC_Os06g30460.3,1,0.417521697
LOC_Os02g16550.1,-0.378511623,1
LOC_Os05g23430.2,-1,1
LOC_Os04g02510.1,0,0.802674019
LOC_Os03g15560.1,-0.736965594,0.623424804
LOC_Os03g08970.1,0,1
LOC_Os04g14150.1,0,1
LOC_Os10g42220.1,0,1
LOC_Os03g48040.1,0.485426827,0.392631489
LOC_Os09g22450.1,-1.584962501,0.633460072
LOC_Os10g35990.2,0,0.671145283
LOC_Os04g58630.2,-2,0.38910012
LOC_Os01g03090.1,0.485426827,0.392631489
LOC_Os05g14940.1,-0.321928095,1
LOC_Os04g39970.1,1,0.417521697
LOC_Os01g45830.1,0,0.671145283
LOC_Os07g46350.1,-0.68589141,0.364361368
LOC_Os05g07210.1,-1,1
LOC_Os05g01020.2,-0.347923303,1
LOC_Os02g12794.3,-0.378511623,1
LOC_Os03g08000.1,1,0.417521697
LOC_Os01g42140.1,-1,1
LOC_Os01g31770.1,-0.392317423,1
LOC_Os03g52780.1,0,1
LOC_Os05g38740.1,-1.584962501,0.633460072
LOC_Os03g08530.1,-0.584962501,1
LOC_Os05g50340.1,-1,0.356424237
LOC_Os06g30710.2,-0.736965594,0.73876108
LOC_Os05g04940.1,-1.169925001,0.407728513
LOC_Os01g08300.1,-2,0.38910012
LOC_Os11g37520.1,0.078002512,0.414706663
LOC_Os01g04330.1,-1,0.739838974
LOC_Os03g15590.1,0,0.760104678
LOC_Os04g51700.1,-0.263034406,1
LOC_Os04g32540.1,-2,0.38910012
LOC_Os11g28365.1,0.584962501,0.662011918
LOC_Os06g01180.1,0,1
LOC_Os07g46555.1,-0.289506617,1
LOC_Os08g27090.1,-1,1
LOC_Os04g52540.1,-0.584962501,1
LOC_Os02g52290.1,0.584962501,0.357888847
LOC_Os05g38330.2,-0.678071905,0.783549278
LOC_Os03g52620.1,0,1
LOC_Os11g03900.1,-0.222392421,1
LOC_Os06g04640.1,-0.584962501,1
LOC_Os01g10580.1,0,0.776378797
LOC_Os05g24970.1,-1.415037499,0.365278676
LOC_Os09g24680.1,-1,1
LOC_Os03g61050.1,-0.299560282,1
LOC_Os03g62720.2,0,1
LOC_Os02g47440.3,-2,0.38910012
LOC_Os05g19954.1,-1,0.698015283
LOC_Os04g32050.1,0,0.790430352
LOC_Os05g45770.2,-1.169925001,0.407728513
LOC_Os03g05260.1,-1,1
LOC_Os01g60000.1,-1,1
LOC_Os02g52770.1,-0.115477217,0.841250806
LOC_Os02g21430.1,-1,1
LOC_Os06g07010.2,0.485426827,0.392631489
LOC_Os05g34640.1,-0.459431619,1
LOC_Os01g63870.1,0,1
LOC_Os04g42920.1,0.160464672,0.402302847
LOC_Os04g14690.1,-1,0.381619428
LOC_Os03g48000.1,-0.584962501,0.799379528
LOC_Os01g45060.1,0,1
LOC_Os08g42000.1,0.584962501,0.662011918
LOC_Os01g20940.1,-0.584962501,1
LOC_Os05g45490.1,-0.652076697,0.813447599
LOC_Os06g46540.1,1,0.417521697
LOC_Os05g43360.1,-0.289506617,1
LOC_Os03g04920.1,0.169925001,0.627080764
LOC_Os08g07740.1,-1,0.698015283
LOC_Os03g21950.1,-0.719892081,0.37254328
LOC_Os06g44010.1,0,1
LOC_Os05g51420.1,-0.099535674,0.712515394
LOC_Os02g45240.1,-0.584962501,1
LOC_Os02g33010.1,-0.584962501,0.799379528
LOC_Os08g44510.1,-0.299560282,1
LOC_Os03g61360.1,0,1
LOC_Os12g07190.1,-0.415037499,1
LOC_Os08g43320.1,-1.584962501,0.633460072
LOC_Os01g13150.1,0,1
LOC_Os04g58750.3,0,0.694102999
LOC_Os03g18080.2,-0.485426827,1
LOC_Os05g29020.1,0,0.776378797
LOC_Os06g09290.2,-0.392317423,1
LOC_Os05g35140.1,-1,0.356424237
LOC_Os03g02440.1,-0.222392421,1
LOC_Os07g32670.1,-1.584962501,0.633460072
LOC_Os03g48480.1,0,1
LOC_Os11g37900.1,0,0.802674019
LOC_Os03g07850.1,-0.807354922,0.764224471
LOC_Os04g57720.1,-0.807354922,0.764224471
LOC_Os02g07980.1,0,1
LOC_Os04g01300.1,-0.584962501,0.799379528
LOC_Os02g40890.1,-0.415037499,0.87738855
LOC_Os09g39780.2,0,0.65862756
LOC_Os02g21240.1,-1,1
LOC_Os01g47740.3,-1,0.698015283
LOC_Os02g13400.1,-0.736965594,0.73876108
LOC_Os01g72049.2,0,1
LOC_Os02g07960.4,-0.925999419,0.350794538
LOC_Os02g51030.1,-1,1
LOC_Os02g54090.2,-1,0.698015283
LOC_Os06g07860.1,-2,0.38910012
LOC_Os01g62460.2,0,0.65862756
LOC_Os07g40700.1,-0.222392421,1
LOC_Os10g23100.1,-0.652076697,0.813447599
LOC_Os07g27150.1,0,1
LOC_Os05g07030.1,-0.234465254,0.870523555
LOC_Os11g34860.1,0,0.776378797
LOC_Os02g08100.1,-0.807354922,0.764224471
LOC_Os05g07790.1,-0.637429921,0.677833319
LOC_Os04g49670.1,-0.459431619,1
LOC_Os03g03410.1,-0.415037499,1
LOC_Os01g61420.1,0,1
LOC_Os01g59490.1,0.415037499,0.70761532
LOC_Os06g45070.2,0,1
LOC_Os04g40530.1,-1,0.698015283
LOC_Os03g48110.1,0,1
LOC_Os07g42890.2,0,1
LOC_Os03g09920.1,-0.321928095,1
LOC_Os03g55330.1,0,1
LOC_Os03g01216.1,-1,1
LOC_Os03g61810.1,-0.584962501,1
LOC_Os08g45160.1,-1,0.739838974
LOC_Os07g31460.1,1,0.417521697
LOC_Os04g31010.1,-0.736965594,0.73876108
LOC_Os02g26984.1,-0.736965594,0.623424804
LOC_Os02g55030.1,0,0.790430352
LOC_Os06g43550.2,0,0.760104678
LOC_Os03g56260.1,-2,0.38910012
LOC_Os01g48190.3,-0.447458977,0.846341346
LOC_Os12g06630.1,0.415037499,0.70761532
LOC_Os07g47340.1,-1.584962501,0.633460072
LOC_Os10g41370.1,-0.807354922,0.764224471
LOC_Os07g38240.1,-1,0.698015283
LOC_Os02g54650.1,-1,0.356424237
LOC_Os12g40279.2,-0.362570079,1
LOC_Os02g39040.1,-1,1
LOC_Os12g19030.1,-0.7589919,0.400040802
LOC_Os02g58490.1,-0.584962501,1
LOC_Os01g64900.1,0.415037499,0.70761532
LOC_Os01g16900.1,-0.283792966,1
LOC_Os11g22270.1,-0.736965594,0.623424804
LOC_Os02g07340.1,0,0.760104678
LOC_Os02g06592.1,-0.321928095,1
LOC_Os08g33100.1,0,1
LOC_Os02g21460.1,-0.152003093,0.821724155
LOC_Os01g68380.2,0.485426827,0.392631489
LOC_Os03g01660.1,0,0.760104678
LOC_Os02g48610.2,-0.736965594,0.73876108
LOC_Os01g10400.2,0,1
LOC_Os01g43070.1,0,0.776378797
LOC_Os07g31310.1,-1,1
LOC_Os04g54840.1,-0.777607579,0.645784007
LOC_Os01g67880.1,-0.777607579,0.645784007
LOC_Os08g06490.2,-1,1
LOC_Os05g03530.3,0,1
LOC_Os03g08270.2,-1,1
LOC_Os11g06880.1,0,0.790430352
LOC_Os05g23260.1,0.415037499,0.424011311
LOC_Os08g02540.1,-0.736965594,0.73876108
LOC_Os01g41000.1,-1.584962501,0.633460072
LOC_Os07g39730.2,-1,1
LOC_Os09g31454.1,0,1
LOC_Os11g05700.1,-0.584962501,0.799379528
LOC_Os06g09180.1,0,1
LOC_Os06g38470.3,-0.263034406,1
LOC_Os10g42630.2,-0.736965594,0.73876108
LOC_Os03g11460.1,0,0.65862756
LOC_Os12g33180.1,0,1
LOC_Os03g03150.2,1,0.417521697
LOC_Os05g05830.1,-1,0.739838974
LOC_Os05g27960.1,0,1
LOC_Os10g36470.2,-0.415037499,1
LOC_Os01g65580.1,0,0.760104678
LOC_Os10g30640.1,-0.830074999,0.426777401
LOC_Os01g09120.2,-0.289506617,1
LOC_Os06g40120.1,-1.169925001,0.407728513
LOC_Os03g18790.1,0,1
LOC_Os08g29160.1,-0.245112498,0.896282931
LOC_Os03g41060.1,0,1
LOC_Os03g53500.1,-1,1
LOC_Os06g27970.1,-1,1
LOC_Os02g31030.1,-1,0.444143009
LOC_Os03g51240.1,-1,1
LOC_Os04g31330.1,0,1
LOC_Os02g47560.1,-1,0.739838974
LOC_Os07g31884.1,0,1
LOC_Os03g55530.1,1,0.417521697
LOC_Os02g33320.1,1,0.417521697
LOC_Os01g13170.1,-0.736965594,0.73876108
LOC_Os05g43690.1,-2,0.38910012
LOC_Os03g11890.1,-0.362570079,1
LOC_Os07g41310.1,-1.584962501,0.633460072
LOC_Os05g48930.1,0.485426827,0.392631489
LOC_Os03g58080.1,-0.459431619,1
LOC_Os10g16440.2,-0.584962501,1
LOC_Os01g21990.1,0,0.790430352
LOC_Os09g01630.2,-0.321928095,1
LOC_Os06g04150.1,-0.584962501,0.799379528
LOC_Os05g38730.2,1,0.417521697
LOC_Os04g47530.1,-0.362570079,1
LOC_Os05g34470.2,-0.321928095,1
LOC_Os02g35170.2,-0.485426827,1
LOC_Os06g47590.1,-1,1
LOC_Os12g05170.1,0,1
LOC_Os05g02990.2,-1,0.698015283
LOC_Os01g67870.1,-0.321928095,1
LOC_Os04g59624.1,-1,0.698015283
LOC_Os03g08960.1,-1,0.698015283
LOC_Os03g12500.1,-1.415037499,0.365278676
LOC_Os06g04970.1,-0.584962501,1
LOC_Os01g02920.1,-1.584962501,0.633460072
LOC_Os03g53660.1,1,0.417521697
LOC_Os06g03770.1,-0.415037499,1
LOC_Os11g01200.2,-0.222392421,1
LOC_Os02g39350.1,-0.125530882,0.660325955
LOC_Os11g08300.2,-0.415037499,1
LOC_Os05g48240.4,0.056583528,0.399382006
LOC_Os02g15310.4,-0.736965594,0.73876108
LOC_Os03g49580.1,-0.459431619,1
LOC_Os01g70110.1,-1,0.698015283
LOC_Os06g50840.1,-0.2410081,1
LOC_Os06g19730.1,-0.087462841,0.727366152
LOC_Os01g48390.1,-2,0.38910012
LOC_Os03g08140.2,-0.540568381,0.704405044
LOC_Os03g33580.1,-0.321928095,1
LOC_Os03g32630.1,-0.459431619,1
LOC_Os08g35740.1,-0.299560282,1
LOC_Os02g10310.2,0.514573173,0.329559097
LOC_Os01g04190.3,-0.304854582,1
LOC_Os02g04020.1,-0.087462841,0.727366152
LOC_Os04g54430.1,-1.584962501,0.633460072
LOC_Os01g32350.3,-0.415037499,1
LOC_Os07g33910.2,-0.736965594,0.73876108
LOC_Os02g56820.1,-1,1
LOC_Os07g45360.1,-0.514573173,0.812674657
LOC_Os01g39830.1,0.485426827,0.392631489
LOC_Os04g35200.1,0,1
LOC_Os02g14110.1,-0.374395515,0.898897666
LOC_Os05g49150.1,-0.070389328,0.639156578
LOC_Os06g44140.1,0,1
LOC_Os03g45270.1,1,0.417521697
LOC_Os02g38300.2,0,1
LOC_Os04g43760.1,-0.362570079,1
LOC_Os04g59000.1,-0.415037499,1
LOC_Os02g39970.2,-0.206450877,0.851840322
LOC_Os05g46490.2,-2,0.38910012
LOC_Os04g40060.1,0.289506617,0.37614811
LOC_Os01g06470.1,0.415037499,0.424011311
LOC_Os01g58580.1,0,0.790430352
LOC_Os02g40860.1,0,0.760104678
LOC_Os07g42490.1,0,0.65862756
LOC_Os10g30610.1,0,1
LOC_Os05g37730.1,-1.415037499,0.365278676
LOC_Os03g22320.1,-0.222392421,1
LOC_Os03g63860.1,-0.415037499,1
LOC_Os08g17410.1,0.415037499,0.70761532
LOC_Os01g51380.1,-0.222392421,1
LOC_Os02g57630.3,-2,0.38910012
LOC_Os07g30170.1,-0.169925001,1
LOC_Os04g55510.1,0,1
LOC_Os07g05580.1,-0.321928095,1
LOC_Os03g28410.1,0,1
LOC_Os07g37740.1,0,1
LOC_Os03g55490.1,-0.341036918,1
LOC_Os02g07770.1,-1.584962501,0.633460072
LOC_Os06g19500.1,-2,0.38910012
LOC_Os06g06370.1,-0.777607579,0.645784007
LOC_Os06g21480.1,0.584962501,0.357888847
LOC_Os07g47150.2,0,1
LOC_Os03g15040.2,-0.415037499,1
LOC_Os07g42180.1,0.584962501,0.662011918
LOC_Os01g22630.1,0,1
LOC_Os04g56440.2,0,1
LOC_Os05g13440.1,-0.523561956,0.748041969
LOC_Os01g24690.2,-0.736965594,0.73876108
LOC_Os04g51780.1,-0.584962501,1
LOC_Os01g23680.3,-0.736965594,0.73876108
LOC_Os06g29380.1,0,0.760104678
LOC_Os08g01920.1,0,0.65862756
LOC_Os02g53990.1,-0.584962501,1
LOC_Os06g34690.1,0,0.42396914
LOC_Os12g03100.1,0.415037499,0.70761532
LOC_Os12g12260.1,-0.700439718,0.662604852
LOC_Os02g57370.1,-1,1
LOC_Os06g05250.1,-0.807354922,0.764224471
LOC_Os02g18640.1,0,1
LOC_Os03g10500.1,0,1
LOC_Os03g31290.1,0,1
LOC_Os03g61640.1,-0.137503524,0.828642403
LOC_Os04g57440.2,-1.584962501,0.633460072
LOC_Os08g23150.1,-0.584962501,1
LOC_Os12g02340.2,0,1
LOC_Os06g27890.2,-0.263034406,1
LOC_Os01g03740.1,0,1
LOC_Os03g63730.1,-1.584962501,0.633460072
LOC_Os01g26920.2,-1.584962501,0.633460072
LOC_Os01g56820.1,-1,1
LOC_Os02g49920.1,-1,0.698015283
LOC_Os01g47070.1,-0.584962501,0.799379528
LOC_Os04g44340.1,-0.736965594,0.73876108
LOC_Os10g04580.2,-1,0.698015283
LOC_Os01g47800.1,0,1
LOC_Os03g01910.1,0,1
LOC_Os01g02880.1,-0.222392421,1
LOC_Os11g45280.2,-1,1
LOC_Os01g13570.1,-1.415037499,0.365278676
LOC_Os01g06510.1,-0.584962501,1
LOC_Os06g01980.1,-1,0.444143009
LOC_Os03g57210.2,0,1
LOC_Os03g16980.2,-0.362570079,0.910770819
LOC_Os04g52390.1,-0.736965594,0.623424804
LOC_Os02g45480.1,-0.807354922,0.764224471
LOC_Os11g39220.1,0,1
LOC_Os03g45410.1,0,1
LOC_Os09g39980.1,0,1
LOC_Os03g55730.1,0.415037499,0.424011311
LOC_Os06g12500.1,0,1
LOC_Os01g71670.1,-1.584962501,0.633460072
LOC_Os03g19350.1,0,1
LOC_Os02g54000.1,-0.415037499,1
LOC_Os11g26160.1,0,0.802674019
LOC_Os02g04860.1,-1,1
